ID_Ponto,Nome,Status,Data,Hora
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Charging,2026-03-26,20:17:59
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Faulted,2026-03-26,20:17:59
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-26,20:17:59
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Charging,2026-03-26,20:17:59
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-26,20:52:46
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Charging,2026-03-26,20:52:46
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Faulted,2026-03-26,20:52:46
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-26,20:52:46
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Preparing,2026-03-26,20:52:46
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-26,23:12:17
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Available,2026-03-26,23:12:17
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Faulted,2026-03-26,23:12:17
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-26,23:12:17
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Charging,2026-03-26,23:12:17
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-27,01:42:57
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Available,2026-03-27,01:42:57
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Faulted,2026-03-27,01:42:57
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-27,01:42:57
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-27,01:42:57
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-27,03:04:18
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Available,2026-03-27,03:04:18
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Faulted,2026-03-27,03:04:18
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-27,03:04:18
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-27,03:04:18
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-27,04:34:33
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Available,2026-03-27,04:34:33
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Faulted,2026-03-27,04:34:33
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-27,04:34:33
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-27,04:34:33
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-27,05:27:39
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Available,2026-03-27,05:27:39
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Faulted,2026-03-27,05:27:39
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-27,05:27:39
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-27,05:27:39
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-27,06:31:18
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Charging,2026-03-27,06:31:18
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Charging,2026-03-27,06:31:18
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-27,06:31:18
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-27,06:31:18
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-27,07:28:08
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Charging,2026-03-27,07:28:08
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Charging,2026-03-27,07:28:08
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-27,07:28:08
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-27,07:28:08
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-27,08:26:09
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Available,2026-03-27,08:26:09
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Available,2026-03-27,08:26:09
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-27,08:26:09
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Charging,2026-03-27,08:26:09
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Charging,2026-03-27,09:05:26
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Available,2026-03-27,09:05:26
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Faulted,2026-03-27,09:05:26
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-27,09:05:26
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Finishing,2026-03-27,09:05:26
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-27,10:42:01
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Available,2026-03-27,10:42:01
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Finishing,2026-03-27,10:42:01
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-27,10:42:01
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-27,10:42:01
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-27,11:39:22
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Available,2026-03-27,11:39:22
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Charging,2026-03-27,11:39:22
6890bcc16899c6001f414dc8,Posto Quality,Charging,2026-03-27,11:39:22
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-27,11:39:22
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Charging,2026-03-27,12:35:25
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Finishing,2026-03-27,12:35:25
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Charging,2026-03-27,12:35:25
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-27,12:35:25
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-27,12:35:25
